"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"A00051457","Older Adult- Age 65-85","V1","2","3","2","2","3","2","2","2","3","3","2","3","1","2","2","2","2","2","2","2","2","3","2","2","3","4","2","1","2","2","2","2","2","2","3","1","2","2","3","3","2","2","2","2","3","1","4","2","2","3","2","1","2","3","2","1","3","2","2","32","21","19","39","34","145"
"A00043509","Adult- Age 22-59","V1","3","3","2","1","3","1","2","2","3","3","2","3","2","3","3","2","3","4","1","3","3","3","3","3","3","4","2","2","2","3","2","3","2","3","3","2","2","2","2","3","3","2","1","2","3","2","2","2","2","2","2","4","3","2","3","2","2","2","3","30","22","22","28","30","132"
"A00038831","Adult- Age 22-59","V1","1","3","1","1","1","1","4","1","4","4","1","1","1","1","4","1","1","1","1","4","1","4","1","1","4","1","1","1","4","4","1","1","1","1","4","1","1","2","2","4","1","1","1","1","1","1","1","1","1","1","1","1","4","2","4","1","4","2","4","33","12","13","48","23","129"
"A00040629","Older Adult- Age 65-85","V1","3","4","3","3","4","2","4","2","2","4","1","3","3","2","4","2","4","4","4","4","4","4","2","2","4","1","2","2","4","2","2","2","3","3","3","2","2","4","3","4","3","2","3","4","4","3","3","3","3","4","3","2","4","2","3","2","4","4","3","17","30","24","31","19","121"
"A00062282","ONE_DAY- Age 22-59","VA","3","1","1","3","2","3","1","1","2","2","2","2","2","2","2","3","1","2","2","2","2","1","2","4","2","1","3","4","2","3","1","3","2","2","2","1","3","3","2","2","1","3","3","2","3","1","2","3","3","2","2","1","2","3","2","1","2","1","2","41","31","29","45","40","186"
"A00038817","Adult- Age 22-59","V1","2","2","1","1","4","2","3","2","2","3","2","3","3","1","3","2","2","2","2","3","2","3","3","4","1","2","3","2","2","3","2","2","2","2","3","4","2","2","1","3","3","2","2","1","2","4","2","2","2","2","2","3","2","3","3","2","1","1","1","36","22","23","29","36","146"
"A00038520","Older Adult- Age 60-64","V1","2","4","2","1","4","1","4","3","4","4","1","4","3","2","4","1","4","2","2","4","2","4","3","1","4","4","2","1","4","4","3","1","1","3","4","4","1","1","4","4","4","1","1","4","4","4","4","1","1","4","4","4","4","1","4","4","4","4","4","13","13","13","20","14","73"
"A00037267","Adult- Age 22-59","V1","3","3","4","2","4","3","3","4","4","4","2","3","2","3","4","2","4","4","3","4","3","4","3","3","4","4","3","2","4","4","4","3","3","4","4","4","3","2","3","4","3","3","2","4","4","3","3","3","3","4","4","4","4","3","4","3","3","4","4","18","28","26","18","15","105"
"A00058131","ENROLLED","V1","3","4","2","2","4","3","3","2","2","4","1","4","4","3","4","2","4","2","3","4","4","4","4","3","4","2","2","2","2","4","2","2","3","4","4","4","2","3","4","4","2","2","2","4","4","4","3","2","2","4","2","4","4","2","4","4","4","4","4","18","27","24","24","14","107"
"A00061725","ONE_DAY-Age 65-85","VA","2","2","2","1","4","1","3","2","4","4","1","2","3","2","4","2","4","4","2","4","2","3","2","2","4","4","1","2","3","4","2","2","2","2","3","4","2","2","3","4","4","2","2","3","4","1","2","2","2","3","2","4","3","2","3","3","3","4","4","26","20","18","25","19","108"
"A00028552","Older Adult- Age 60-64","V1","4","4","2","1","4","2","4","3","4","4","1","3","1","3","4","2","4","1","3","4","1","4","3","1","4","4","1","2","3","4","3","1","1","3","4","1","1","2","3","4","3","3","1","4","4","2","4","2","1","4","2","1","4","3","4","4","4","2","4","22","19","16","32","14","103"
"A00058503","ENROLLED","VA_ALG","3","3","1","1","4","2","3","1","4","4","2","3","3","1","4","1","3","1","2","4","2","4","2","2","4","2","1","1","3","4","2","2","2","2","4","3","1","2","3","4","3","1","1","3","4","1","3","1","2","4","2","2","4","3","4","3","2","3","3","26","19","14","36","17","112"
"A00043521","Adult- Age 22-59","V1","2","4","4","1","4","1","4","2","3","4","1","2","1","1","4","2","2","2","2","4","3","4","3","2","4","2","1","1","3","4","2","1","1","2","4","2","2","2","3","3","3","1","2","4","4","2","3","1","1","3","2","2","3","2","3","4","3","3","3","24","17","15","31","20","107"
"A00037116","Adult- Age 22-59","V1","3","4","1","1","4","1","2","1","3","4","1","4","1","1","4","1","3","1","2","4","1","3","1","2","4","1","1","2","4","4","1","2","1","4","4","1","1","2","2","4","1","1","2","4","4","3","2","2","1","4","3","1","4","2","4","1","2","3","4","21","17","16","46","16","116"
"A00066539","ONE_DAY-Age 60-64","VA","2","3","2","1","4","1","3","2","4","4","3","4","4","1","4","1","4","4","1","4","1","4","2","2","4","4","1","1","3","4","2","1","1","3","4","2","1","2","2","4","2","1","1","3","4","4","4","2","2","4","3","4","4","3","4","2","4","4","4","22","17","11","26","14","90"
"A00039559","Older Adult- Age 65-85","V1","2","3","2","2","4","2","3","3","3","4","3","2","2","2","4","2","3","1","2","3","2","3","3","2","3","3","2","1","3","3","2","2","2","3","3","1","2","2","3","3","2","2","2","3","3","3","2","2","2","3","2","3","3","2","3","1","2","2","3","27","22","21","34","26","130"
"A00056898","ENROLLED","V1","2","4","1","1","4","2","2","2","4","4","3","2","1","1","4","1","3","1","1","4","1","4","2","2","4","4","2","2","2","4","2","2","1","2","4","4","2","2","4","4","1","1","4","4","4","1","4","4","4","1","1","1","1","4","1","1","1","1","1","30","26","14","39","29","138"
"A00066781","ONE_DAY","VA","2","2","2","2","1","2","2","2","4","1","4","1","4","2","2","1","1","4","2","2","1","1","4","1","4","4","2","2","1","3","2","2","2","2","4","2","1","2","4","4","2","2","2","2","4","4","1","2","1","2","3","2","2","2","2","4","3","2","3","36","21","19","24","33","133"
"A00076589","Adult- Age 22-59","V1","2","4","2","2","4","2","2","2","4","3","1","4","2","2","4","1","4","2","2","3","2","3","2","2","4","2","1","2","4","4","4","1","2","4","4","4","2","1","2","4","4","4","2","4","4","1","4","2","2","4","2","4","4","2","4","4","3","4","2","20","19","18","27","19","103"
"A00040800","Child Age 16-17","V4","3","4","2","1","4","1","3","2","3","4","1","4","1","2","4","1","3","1","2","4","2","4","2","2","4","1","2","1","4","4","2","2","1","4","4","1","2","2","3","4","2","2","1","3","4","2","3","1","2","4","4","2","4","1","4","1","4","4","2","16","16","19","41","16","108"
"A00066162","ENROLLED","VA_ALG","4","4","2","1","4","2","4","3","4","4","2","4","3","1","4","2","4","2","2","4","2","4","3","3","4","4","2","2","3","4","3","2","2","4","4","4","3","2","4","4","2","2","2","4","4","3","4","3","2","4","2","1","4","3","4","3","4","2","4","19","25","18","27","14","103"
"A00037784","Adult- Age 22-59","V1","4","4","2","1","4","1","4","2","4","4","1","4","4","3","4","1","3","4","2","4","1","4","4","1","4","1","1","1","4","4","3","1","1","4","4","4","1","2","4","4","4","3","1","4","4","4","4","1","1","4","4","4","4","1","4","4","4","4","4","13","15","15","20","14","77"
"A00053473","ENROLLED","V1","2","4","1","1","4","1","2","2","4","4","1","4","1","1","4","1","4","1","1","4","1","4","2","1","4","1","1","2","4","4","1","1","1","4","4","1","1","2","3","4","1","4","1","4","4","2","4","1","1","4","4","1","4","2","4","1","4","4","2","16","14","13","45","16","104"
"A00063455","ONE_DAY-Age 65-85","VA","2","3","2","1","4","1","3","4","4","4","1","4","2","2","4","1","4","1","1","4","1","4","2","2","4","3","2","1","4","4","2","1","1","4","4","2","1","1","3","4","3","1","1","4","4","2","4","1","1","4","4","2","4","1","4","2","4","4","4","15","12","13","33","14","87"
"A00055692","Adult- Age 22-59","V1","1","1","1","1","1","1","4","4","4","4","1","4","1","1","4","1","4","1","1","4","1","4","1","1","4","1","1","1","4","4","1","1","1","1","1","1","1","1","1","1","1","1","1","4","4","1","4","1","1","4","1","1","4","1","1","1","4","1","1","27","11","10","45","29","122"
"A00028606","Adult- Age 22-59","V1","2","4","1","1","1","2","3","2","4","4","4","3","2","4","1","1","3","2","2","3","1","2","4","1","3","4","1","1","1","1","3","1","1","4","4","4","1","1","2","1","4","3","1","1","4","2","2","3","2","2","2","2","2","2","2","2","2","2","2","30","19","18","28","38","133"
"A00035943","Adult- Age 22-59","V1","2","3","1","1","4","1","3","2","3","4","1","4","2","2","4","2","3","2","2","3","2","4","2","4","4","4","1","2","3","4","2","1","1","2","3","4","1","1","3","4","2","1","1","4","4","4","3","2","2","2","2","1","2","2","2","3","2","3","2","23","17","17","31","26","114"
"A00058539","Adult- Age 22-59","V1","2","4","2","2","4","2","4","3","3","4","1","3","3","2","4","1","4","2","3","4","2","4","4","2","4","4","2","1","2","3","4","2","2","3","4","4","2","2","3","4","3","2","2","4","4","4","4","2","1","4","2","2","4","2","3","4","3","4","3","20","18","20","21","18","97"
"A00050848","Child Age 16-17","V4","3","4","2","1","4","1","3","3","4","4","1","3","1","2","4","1","4","1","2","3","1","4","2","2","4","1","2","1","4","4","2","1","1","4","4","1","2","2","4","4","2","2","1","4","4","1","4","2","2","4","4","4","4","1","3","1","4","4","2","14","16","16","39","18","103"
"A00031894","Adult- Age 22-59","V1","1","4","1","1","4","1","4","2","4","4","1","4","1","1","4","1","4","1","1","4","1","4","2","2","4","1","1","1","1","4","1","1","1","4","4","1","1","1","4","4","2","1","1","4","4","1","4","1","1","4","4","1","4","2","4","1","4","4","4","16","11","11","45","14","97"
"A00056452","Adult- Age 22-59","V1","3","4","1","1","4","2","4","1","4","4","1","3","2","2","4","2","4","1","2","4","2","4","1","1","4","1","1","1","3","4","2","1","2","4","4","3","1","3","2","4","2","1","2","4","4","2","4","2","2","4","3","1","4","3","4","1","4","4","4","19","22","12","42","14","109"
"A00031216","Adult-Age 18-21","V1","2","3","1","2","4","2","3","1","3","4","1","3","1","3","4","1","4","1","2","4","1","3","2","2","4","1","2","2","2","4","2","3","2","3","4","3","2","2","3","4","2","2","2","4","4","2","4","2","1","4","2","1","4","2","3","4","2","3","3","24","18","21","39","18","120"
"A00040343","Older Adult- Age 60-64","V1","2","3","2","1","4","1","1","4","1","4","2","1","4","1","4","3","4","4","2","4","1","4","4","2","4","4","2","1","4","4","4","1","4","4","4","4","1","2","3","4","4","1","1","3","4","4","4","4","4","2","3","4","2","2","4","4","3","3","4","24","25","16","14","19","98"
"A00073705","ONE_DAY-Age 65-85","VA","2","3","2","1","4","2","4","2","4","4","2","3","2","1","4","2","3","3","1","3","2","3","3","2","3","3","1","1","3","3","2","2","1","3","3","2","1","2","2","3","3","2","2","3","3","2","4","2","2","3","2","3","3","2","3","1","2","3","3","25","20","13","32","26","116"
"A00028246","Adult- Age 22-59","V1","1","4","4","1","4","1","2","3","3","4","1","4","4","1","4","2","4","2","3","4","2","2","3","4","4","4","1","1","4","4","2","3","2","2","4","3","1","1","3","4","4","1","1","4","4","2","4","1","1","4","2","2","4","3","4","4","4","4","4","23","14","18","23","14","92"
"A00056556","ENROLLED","V1","2","4","1","1","4","1","1","2","4","4","3","3","2","2","4","1","3","1","1","3","2","4","2","1","3","4","1","1","3","4","3","1","1","3","3","2","1","2","2","4","2","1","1","3","3","1","2","1","1","4","2","1","4","2","4","1","2","3","4","26","16","13","38","20","113"
"A00053626","Older Adult- Age 65-85","V1","3","4","3","1","4","1","4","4","4","4","4","4","4","2","4","1","4","2","2","4","2","4","3","2","3","2","1","1","4","3","2","1","1","2","4","4","2","2","2","4","4","1","2","4","3","4","4","1","1","4","4","1","4","2","4","4","3","2","4","19","19","14","23","18","93"
"A00028912","Older Adult- Age 65-85","V1","3","4","2","1","4","1","3","2","3","4","2","3","2","1","4","2","3","2","2","3","2","4","2","2","4","2","2","2","4","3","2","2","2","3","4","2","2","2","3","4","2","2","2","3","3","2","3","2","2","4","3","2","4","2","4","2","3","4","4","20","22","18","36","18","114"
"A00052118","Older Adult- Age 65-85","V1","2","4","3","1","4","1","4","2","4","4","1","4","3","2","4","1","4","4","2","4","1","3","3","2","4","4","1","1","2","4","2","1","1","2","4","4","1","2","2","4","4","1","1","3","4","4","4","1","1","4","2","4","4","2","4","4","2","4","3","23","13","13","19","17","85"
"A00055121","ENROLLED","V1","1","4","1","1","4","1","4","4","4","4","1","4","1","1","4","1","4","4","1","4","1","4","2","1","4","4","1","1","4","4","2","1","1","4","4","4","1","1","4","4","4","1","1","4","4","4","4","1","1","4","4","4","4","1","4","4","4","4","4","12","11","10","22","14","69"
"A00059428","ENROLLED","V1","1","2","3","2","4","1","2","2","2","4","2","1","4","1","4","1","2","3","3","4","2","3","2","2","4","4","2","1","2","4","2","2","2","2","4","4","2","1","1","4","2","2","2","1","4","4","2","2","2","4","1","4","4","3","4","2","2","2","4","39","17","22","24","16","118"
"A00066013","ENROLLED","VA_ALG","1","1","3","1","4","2","2","4","2","4","3","1","3","3","4","2","2","3","2","3","2","1","4","1","3","4","2","3","2","4","3","2","2","1","4","4","2","1","2","4","4","2","1","1","2","4","1","2","1","2","1","2","2","4","4","2","2","2","3","43","20","22","20","25","130"
"A00040525","Adult- Age 22-59","V1","2","3","4","2","3","2","4","3","3","4","3","4","2","2","4","2","4","3","4","4","2","3","4","2","4","4","1","2","3","4","3","2","2","4","4","4","2","2","3","4","4","2","2","4","3","4","4","1","1","4","4","4","4","2","4","4","4","4","3","17","21","20","17","17","92"
"A00045590","ENROLLED","V1","1","4","3","2","4","1","4","2","3","4","1","2","4","1","4","1","4","1","2","4","1","4","4","2","4","1","1","1","4","4","3","1","1","4","4","3","1","1","4","4","3","1","1","4","4","3","3","1","1","4","4","1","4","2","4","1","4","3","4","16","11","15","31","14","87"
"A00052612","Adult- Age 22-59","V1","2","4","2","3","4","1","2","4","3","4","1","3","3","2","4","1","4","2","2","4","1","4","4","1","4","4","1","1","4","4","4","1","1","4","4","4","1","1","4","4","4","1","1","4","4","4","4","2","1","4","2","4","4","3","4","4","3","4","4","19","13","15","17","15","79"
"A00039845","Older Adult- Age 65-85","V1","3","3","2","2","4","2","3","2","3","3","2","2","3","3","3","2","3","2","2","3","2","3","3","2","3","3","2","2","3","3","2","2","2","3","2","3","2","2","3","3","2","2","2","3","2","2","2","2","2","2","3","2","3","2","3","2","2","3","2","25","23","22","32","32","134"
"A00062917","ONE_DAY- Age 22-59","VA","2","2","3","2","1","1","2","1","3","3","1","2","1","2","2","2","2","4","2","3","2","1","2","3","3","1","2","2","1","3","2","2","2","1","4","1","2","2","2","2","3","2","1","2","3","3","1","2","2","2","1","1","2","4","4","2","2","2","3","41","19","23","36","33","152"
"A00033747","ENROLLED","V1REP","2","4","2","2","4","2","3","3","3","4","3","2","2","2","4","2","3","2","3","4","3","3","2","2","4","2","2","2","4","4","3","2","2","4","4","4","2","2","2","4","3","2","2","4","4","4","4","2","2","3","2","2","3","3","4","4","3","3","3","24","24","20","27","18","113"
"A00039669","Older Adult- Age 60-64","V1","2","4","2","1","4","2","4","2","4","4","2","3","2","4","4","1","3","4","4","4","3","4","2","2","4","2","2","2","3","4","2","2","2","2","4","4","2","1","2","4","2","2","1","3","4","4","3","2","1","4","2","1","4","2","4","2","4","2","3","25","19","22","31","15","112"
"A00031607","Adult- Age 22-59","V1","1","4","2","1","4","1","4","1","4","4","1","4","2","1","4","1","4","4","1","4","4","4","3","1","4","4","1","1","4","4","3","1","1","4","4","4","1","1","3","4","4","1","1","4","2","4","4","1","1","4","2","4","4","1","4","1","2","4","3","15","14","10","24","19","82"
"A00056372","Older Adult- Age 65-85","V1","2","3","3","1","4","3","4","4","4","4","2","3","2","1","4","2","4","2","1","4","3","3","4","1","4","4","1","2","2","4","4","3","2","3","4","4","2","1","2","4","4","1","1","3","4","4","4","1","1","4","3","2","2","4","4","4","4","3","4","26","20","13","19","16","94"
"A00066871","ENROLLED","VA_ALG","1","4","3","1","4","1","2","3","3","4","3","2","3","2","4","1","4","1","2","3","3","4","3","2","4","2","2","1","4","4","3","2","2","2","4","3","1","1","2","4","4","2","1","3","4","1","2","1","2","4","3","1","4","3","4","1","4","4","4","24","17","19","32","15","107"
"A00028207","Adult- Age 22-59","V1","3","4","2","2","4","1","4","2","3","4","3","2","3","3","4","2","4","2","3","4","2","3","3","3","4","2","2","1","3","4","2","2","1","3","4","4","2","2","4","4","4","3","2","3","4","2","3","2","2","4","1","2","4","2","4","3","4","4","4","22","21","24","29","14","110"
"A00039143","Adult- Age 22-59","V1","2","4","3","1","4","1","3","2","4","4","1","3","4","1","4","2","4","1","1","4","1","4","2","1","4","3","1","2","4","4","2","2","1","4","4","4","1","2","2","4","3","1","2","2","4","3","3","2","1","4","3","1","4","3","4","4","4","4","4","21","17","12","28","14","92"
"A00050679","Older Adult- Age 65-85","V1","2","4","4","1","4","1","3","2","4","4","1","2","2","2","4","1","4","4","2","4","2","4","4","1","4","4","1","1","3","4","3","1","1","4","1","4","1","1","4","4","4","1","1","4","4","4","4","2","1","4","2","4","4","2","4","4","4","4","2","19","14","12","17","19","81"
"A00059990","ONE_DAY- Age 18-21","VA","3","1","1","3","2","2","3","1","1","3","3","2","1","4","3","3","3","1","2","3","3","4","1","1","3","4","2","3","1","3","2","3","3","3","4","4","2","3","2","3","2","2","2","1","3","4","2","3","3","2","3","1","2","2","3","1","3","2","3","32","31","26","37","30","156"
"A00062288","ONE_DAY- Age 22-59","VA","2","3","2","2","4","2","3","3","3","4","3","3","2","2","4","2","4","2","3","3","2","3","2","3","3","2","2","2","3","3","3","2","2","3","4","2","2","2","3","4","4","2","2","3","3","3","2","2","2","3","2","2","3","2","4","3","2","3","4","24","23","23","30","22","122"
"A00073677","ENROLLED","VA_ALG","4","4","4","2","4","2","2","3","3","3","1","4","3","2","4","2","4","4","2","3","1","2","4","2","3","4","3","1","3","4","4","4","1","2","4","4","2","2","1","3","4","3","1","3","2","4","4","1","2","3","2","4","3","4","4","2","1","3","3","29","18","23","16","26","112"
"A00028844","Adult-Age 18-21","V1","3","3","2","2","3","2","3","2","3","3","1","2","3","3","3","2","2","1","2","3","2","3","2","2","3","1","2","2","3","3","1","3","2","2","3","1","2","2","2","3","2","3","2","3","3","1","2","2","2","3","3","1","2","2","3","1","2","2","3","29","22","24","42","30","147"
"A00066389","ONE_DAY-Age 65-85","VA","3","3","2","1","4","1","4","3","4","4","2","3","3","1","4","1","4","2","2","4","3","4","2","1","4","4","1","1","3","4","2","1","2","3","4","4","1","3","3","4","3","1","2","4","4","3","4","3","2","4","3","1","4","3","4","4","4","3","4","21","23","11","27","14","96"
"A00031272","Adult- Age 22-59","V1","2","4","2","1","3","2","3","1","4","4","2","2","3","1","4","2","3","2","2","3","2","4","2","2","4","2","1","2","4","4","2","2","2","4","4","2","1","2","3","4","2","4","1","4","4","2","3","1","2","4","4","1","4","2","4","2","4","4","1","18","20","17","37","19","111"
"A00066232","ONE_DAY- Age 22-59","VA","3","3","2","1","3","2","3","1","4","4","2","3","1","1","4","2","4","1","3","3","2","4","2","2","3","1","1","2","3","4","1","2","2","3","4","2","1","2","3","4","3","2","2","4","4","2","3","2","2","4","2","1","4","2","4","3","4","2","3","23","23","16","40","18","120"
"A00058952","ENROLLED","V1","1","4","2","2","3","1","4","2","4","3","1","3","2","3","3","1","3","1","2","4","2","4","3","1","4","1","1","2","3","4","2","1","2","4","4","2","2","1","3","4","2","2","1","4","4","2","3","2","2","4","3","1","3","1","4","2","4","3","3","18","16","17","38","19","108"
"A00052125","ENROLLED","V1","1","3","2","2","3","1","1","3","2","4","3","3","4","2","3","2","2","2","2","3","3","2","3","2","3","2","2","2","3","3","3","2","2","2","3","3","2","2","3","3","3","2","2","3","3","3","3","2","2","3","3","1","3","3","3","1","2","2","3","31","22","21","30","28","132"
"A00033609","Adult- Age 22-59","V1","1","4","2","2","4","1","4","2","4","4","2","4","2","3","4","1","4","2","2","4","2","4","2","3","4","2","2","1","3","4","1","2","2","2","4","2","2","2","3","4","2","2","2","4","4","1","2","2","1","4","2","2","4","1","4","3","2","4","4","18","17","22","37","16","110"
